opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,severity,evidence,recommended_action,status
OPP-000001,5,Chanda Traders,5,42,Convenience,C,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 68.8% vs previous 30d"", ""Revenue gap of \u20b93,604 vs previous 30d"", ""Order frequency declined 66.7%""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000002,6,Sampath Supermarket,4,60,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 94.4% vs previous 30d"", ""Revenue gap of \u20b937,972 vs previous 30d"", ""Order frequency declined 83.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000003,10,Nath Retail,12,64,Pharmacy,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 39.8% vs previous 30d"", ""Revenue gap of \u20b93,770 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000004,12,Lala Supermarket,12,36,Supermarket,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 83.0% vs previous 30d"", ""Revenue gap of \u20b94,029 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000005,13,Edwin Traders,8,76,Modern Trade,C,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,076 vs previous 30d"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000006,13,Edwin Traders,8,76,Modern Trade,C,INACTIVE_OUTLET,65,MEDIUM,"[""No order for 51 days"", ""Zero revenue in the current 30-day period""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover the outlet's previous purchasing behaviour.,OPEN
OPP-000007,15,Sane Traders,12,30,Pharmacy,A,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 33.8% vs previous 30d"", ""Revenue gap of \u20b92,739 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000008,19,Dixit Retail,10,43,Pharmacy,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 48.9% vs previous 30d"", ""Revenue gap of \u20b93,717 vs previous 30d"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000009,24,Datta Retail,12,19,Pharmacy,B,REVENUE_RECOVERY,80,HIGH,"[""Revenue declined 41.1% vs previous 30d"", ""Revenue gap of \u20b92,964 vs previous 30d"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
OPP-000010,26,Morar Retail,3,89,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 75.5% vs previous 30d"", ""Revenue gap of \u20b911,075 vs previous 30d"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify the affected products/categories, and attempt revenue recovery.",OPEN
