opportunity_id,outlet_id,outlet_name,territory_id,rep_id,outlet_type,tier,opportunity_type,score,priority,evidence,recommended_action,status
OPP-000001,5,Chanda Traders,5,42,Convenience,C,REVENUE_RECOVERY,82,HIGH,"[""Revenue declined 68.8% vs previous 30d"", ""Revenue gap of \u20b93,604"", ""Order frequency declined 66.7%"", ""Revenue growth below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000002,6,Sampath Supermarket,4,60,Supermarket,A,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 94.4% vs previous 30d"", ""Revenue gap of \u20b937,972"", ""Order frequency declined 83.3%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000003,10,Nath Retail,12,64,Pharmacy,B,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 39.8% vs previous 30d"", ""Revenue gap of \u20b93,770"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000004,12,Lala Supermarket,12,36,Supermarket,B,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 83.0% vs previous 30d"", ""Revenue gap of \u20b94,029"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000005,13,Edwin Traders,8,76,Modern Trade,C,REVENUE_RECOVERY,92,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b92,076"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000006,13,Edwin Traders,8,76,Modern Trade,C,INACTIVE_OUTLET,75,HIGH,"[""No order for 51 days"", ""Zero revenue in current 30d"", ""Previous 30d revenue was \u20b92,076""]",Prioritize a reactivation visit. Investigate the reason for inactivity and attempt to recover previous purchasing behaviour.,OPEN
OPP-000007,15,Sane Traders,12,30,Pharmacy,A,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 33.8% vs previous 30d"", ""Revenue gap of \u20b92,739"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000008,19,Dixit Retail,10,43,Pharmacy,B,REVENUE_RECOVERY,85,HIGH,"[""Revenue declined 48.9% vs previous 30d"", ""Revenue gap of \u20b93,717"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000009,24,Datta Retail,12,19,Pharmacy,B,REVENUE_RECOVERY,70,MEDIUM,"[""Revenue declined 41.1% vs previous 30d"", ""Revenue gap of \u20b92,964"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000010,26,Morar Retail,3,89,Modern Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 75.5% vs previous 30d"", ""Revenue gap of \u20b911,075"", ""Order frequency declined 66.7%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000011,34,Ray Supermarket,9,93,Supermarket,C,REVENUE_RECOVERY,77,HIGH,"[""Revenue declined 91.9% vs previous 30d"", ""Revenue gap of \u20b94,317"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000012,36,Khalsa Supermarket,6,14,Convenience,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 74.2% vs previous 30d"", ""Revenue gap of \u20b929,595"", ""Order frequency declined 50.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
OPP-000013,41,Gola Retail,7,13,General Trade,B,REVENUE_RECOVERY,100,HIGH,"[""Revenue declined 100.0% vs previous 30d"", ""Revenue gap of \u20b912,443"", ""Order frequency declined 100.0%"", ""Revenue growth materially below peer benchmark""]","Prioritize an outlet visit to investigate lost volume, identify affected products/categories, and attempt revenue recovery.",OPEN
