global_rank,type_rank,opportunity_id,outlet_id,opportunity_type,priority_score,priority_band,action_urgency,score,priority,evidence,recommended_action,revenue_30d,revenue_previous_30d,revenue_per_visit_30d,target_achievement_pct,revenue_index_vs_peer,visits_30d,productive_visits_30d,ev_target_category,ev_territory_category_rank,ev_territory_category_orders_90d,ev_current_category_count_90d,ev_revenue_previous_30d,ev_revenue_30d,ev_revenue_growth_30d,ev_revenue_gap_vs_previous_30d,ev_orders_previous_30d,ev_orders_30d,ev_revenue_index_vs_peer,ev_days_since_last_order,ev_stockout_events_90d,ev_stockout_rate_90d,ev_avg_closing_stock_90d
1,1,OPP-000187,303,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
2,2,OPP-000433,685,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,1.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
3,3,OPP-000783,1208,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,2.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
4,4,OPP-001230,1855,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,2.0,1.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
5,5,OPP-001316,1982,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
6,6,OPP-001433,2143,Cross-Sell,98.86,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1879, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,Snacks,1.0,1879.0,0.0,,,,,,,,,,,
7,1,OPP-001244,1872,Revenue Recovery,97.4,P1,Immediate,96.78,HIGH,"{""revenue_previous_30d"": 43698.89, ""revenue_30d"": 674.71, ""revenue_growth_30d"": -0.9846, ""revenue_gap_vs_previous_30d"": 43024.18, ""orders_previous_30d"": 9, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.031}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",674.71,43698.89,168.6775,1.1018132536682066,0.031415928482445,4.0,4.0,,,,,43698.89,674.71,-0.9846,43024.18,9.0,1.0,0.031,,,,
8,7,OPP-001016,1559,Cross-Sell,96.46,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,4.0,2.0,Snacks,1.0,1872.0,0.0,,,,,,,,,,,
9,8,OPP-001045,1596,Cross-Sell,96.46,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,4.0,2.0,Snacks,1.0,1872.0,0.0,,,,,,,,,,,
10,9,OPP-001074,1643,Cross-Sell,96.46,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,3.0,3.0,Snacks,1.0,1872.0,0.0,,,,,,,,,,,
11,10,OPP-001144,1740,Cross-Sell,96.46,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,1.0,1.0,Snacks,1.0,1872.0,0.0,,,,,,,,,,,
12,11,OPP-001469,2188,Cross-Sell,96.46,P1,Immediate,100.0,HIGH,"{""target_category"": ""Snacks"", ""territory_category_rank"": 1, ""territory_category_orders_90d"": 1872, ""current_category_count_90d"": 0}","Introduce Snacks during the next outlet visit and assess fit, expected demand, and an initial reorder quantity.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snacks,1.0,1872.0,0.0,,,,,,,,,,,
13,2,OPP-001605,2381,Revenue Recovery,95.17,P1,Immediate,93.49,HIGH,"{""revenue_previous_30d"": 49261.97, ""revenue_30d"": 2017.44, ""revenue_growth_30d"": -0.959, ""revenue_gap_vs_previous_30d"": 47244.53, ""orders_previous_30d"": 7, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.1}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2017.44,49261.97,0.0,3.3755404162503937,0.0997329006749411,0.0,0.0,,,,,49261.97,2017.44,-0.959,47244.53,7.0,1.0,0.1,,,,
14,3,OPP-001694,2512,Revenue Recovery,95.06,P1,Immediate,93.96,HIGH,"{""revenue_previous_30d"": 40001.08, ""revenue_30d"": 1654.67, ""revenue_growth_30d"": -0.9586, ""revenue_gap_vs_previous_30d"": 38346.41, ""orders_previous_30d"": 7, ""orders_30d"": 1, ""revenue_index_vs_peer"": 0.067}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",1654.67,40001.08,551.5566666666667,2.8633522681061385,0.0669163488011698,3.0,3.0,,,,,40001.08,1654.67,-0.9586,38346.41,7.0,1.0,0.067,,,,
15,4,OPP-001602,2377,Revenue Recovery,93.94,P1,Immediate,92.09,HIGH,"{""revenue_previous_30d"": 75011.89, ""revenue_30d"": 2940.07, ""revenue_growth_30d"": -0.9608, ""revenue_gap_vs_previous_30d"": 72071.82, ""orders_previous_30d"": 10, ""orders_30d"": 2, ""revenue_index_vs_peer"": 0.144}","Review the outlet's recent order decline, identify the lost SKU/category demand, and schedule a recovery visit with a targeted reorder proposal.",2940.075,75011.89,980.025,4.336003053412147,0.1444993948627843,3.0,2.0,,,,,75011.89,2940.07,-0.9608,72071.82,10.0,2.0,0.144,,,,
