selection_rank,opportunity_id,outlet_id,opportunity_type,priority_score,priority_band,summary,why_it_matters,recommended_action,evidence_used,confidence
1,OPP-000187,303,Cross-Sell,98.86,P1,Cross-sell opportunity for Snacks.,"Snacks ranks #1 in territory category demand with 1,879 orders in the last 90 days, while the outlet currently carries 0 categories in its observed assortment.",Evaluate introducing Snacks at the outlet and validate shelf space and demand.,"['Target category: Snacks', 'Territory category rank: #1', 'Territory category orders (90d): 1,879', 'Current category count (90d): 0']",high
2,OPP-000433,685,Cross-Sell,98.86,P1,Cross-sell opportunity for Snacks.,"Snacks ranks #1 in territory category demand with 1,879 orders in the last 90 days, while the outlet currently carries 0 categories in its observed assortment.",Evaluate introducing Snacks at the outlet and validate shelf space and demand.,"['Target category: Snacks', 'Territory category rank: #1', 'Territory category orders (90d): 1,879', 'Current category count (90d): 0']",high
3,OPP-000783,1208,Cross-Sell,98.86,P1,Cross-sell opportunity for Snacks.,"Snacks ranks #1 in territory category demand with 1,879 orders in the last 90 days, while the outlet currently carries 0 categories in its observed assortment.",Evaluate introducing Snacks at the outlet and validate shelf space and demand.,"['Target category: Snacks', 'Territory category rank: #1', 'Territory category orders (90d): 1,879', 'Current category count (90d): 0']",high
4,OPP-001230,1855,Cross-Sell,98.86,P1,Cross-sell opportunity for Snacks.,"Snacks ranks #1 in territory category demand with 1,879 orders in the last 90 days, while the outlet currently carries 0 categories in its observed assortment.",Evaluate introducing Snacks at the outlet and validate shelf space and demand.,"['Target category: Snacks', 'Territory category rank: #1', 'Territory category orders (90d): 1,879', 'Current category count (90d): 0']",high
5,OPP-001224,1850,Cross-Sell,82.49,P1,Cross-sell opportunity for Beverages.,"Beverages ranks #2 in territory category demand with 1,822 orders in the last 90 days, while the outlet currently carries 1 categories in its observed assortment.",Evaluate introducing Beverages at the outlet and validate shelf space and demand.,"['Target category: Beverages', 'Territory category rank: #2', 'Territory category orders (90d): 1,822', 'Current category count (90d): 1']",high
6,OPP-001244,1872,Revenue Recovery,97.4,P1,Revenue recovery opportunity with a 98.5% decline in recent revenue.,"Revenue fell from ₹43,699 to ₹675, an estimated ₹43,024 gap; recent revenue is 3.1% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹43,699', 'Recent 30d revenue: ₹675', 'Revenue decline: -98.5%', 'Revenue gap: ₹43,024', 'Orders: 9 → 1', 'Peer revenue index: 0.031']",high
7,OPP-001605,2381,Revenue Recovery,95.17,P1,Revenue recovery opportunity with a 95.9% decline in recent revenue.,"Revenue fell from ₹49,262 to ₹2,017, an estimated ₹47,245 gap; recent revenue is 10.0% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹49,262', 'Recent 30d revenue: ₹2,017', 'Revenue decline: -95.9%', 'Revenue gap: ₹47,245', 'Orders: 7 → 1', 'Peer revenue index: 0.100']",high
8,OPP-001694,2512,Revenue Recovery,95.06,P1,Revenue recovery opportunity with a 95.9% decline in recent revenue.,"Revenue fell from ₹40,001 to ₹1,655, an estimated ₹38,346 gap; recent revenue is 6.7% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹40,001', 'Recent 30d revenue: ₹1,655', 'Revenue decline: -95.9%', 'Revenue gap: ₹38,346', 'Orders: 7 → 1', 'Peer revenue index: 0.067']",high
9,OPP-001602,2377,Revenue Recovery,93.94,P1,Revenue recovery opportunity with a 96.1% decline in recent revenue.,"Revenue fell from ₹75,012 to ₹2,940, an estimated ₹72,072 gap; recent revenue is 14.4% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹75,012', 'Recent 30d revenue: ₹2,940', 'Revenue decline: -96.1%', 'Revenue gap: ₹72,072', 'Orders: 10 → 2', 'Peer revenue index: 0.144']",high
10,OPP-001115,1704,Revenue Recovery,93.5,P1,Revenue recovery opportunity with a 94.0% decline in recent revenue.,"Revenue fell from ₹45,336 to ₹2,735, an estimated ₹42,601 gap; recent revenue is 13.7% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹45,336', 'Recent 30d revenue: ₹2,735', 'Revenue decline: -94.0%', 'Revenue gap: ₹42,601', 'Orders: 7 → 1', 'Peer revenue index: 0.137']",high
11,OPP-000341,547,Revenue Recovery,93.47,P1,Revenue recovery opportunity with a 94.6% decline in recent revenue.,"Revenue fell from ₹41,641 to ₹2,259, an estimated ₹39,383 gap; recent revenue is 11.8% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹41,641', 'Recent 30d revenue: ₹2,259', 'Revenue decline: -94.6%', 'Revenue gap: ₹39,383', 'Orders: 6 → 1', 'Peer revenue index: 0.118']",high
12,OPP-000004,6,Revenue Recovery,93.41,P1,Revenue recovery opportunity with a 94.4% decline in recent revenue.,"Revenue fell from ₹40,232 to ₹2,260, an estimated ₹37,972 gap; recent revenue is 11.2% of the peer benchmark.","Prioritize a recovery visit and investigate lost demand, ordering frequency, or distribution issues.","['Previous 30d revenue: ₹40,232', 'Recent 30d revenue: ₹2,260', 'Revenue decline: -94.4%', 'Revenue gap: ₹37,972', 'Orders: 6 → 1', 'Peer revenue index: 0.112']",high
13,OPP-001421,2129,Stock Risk,92.22,P1,Stock-risk opportunity with 46 stockout events in the last 90 days.,Stockouts occurred in 23.6% of inventory snapshots and average closing stock was 0.93.,Prioritize replenishment review and verify the outlet's current stock position.,"['Stockout events: 46', 'Stockout rate: 23.6%', 'Average closing stock: 0.93']",high
